x,y,z
9125.0,27625.0,-35.052497849999995
9375.0,27625.0,-29.389999399999994
9625.0,27625.0,-15.213501
9875.0,27625.0,0.7550010699999987
10125.0,27625.0,10.088499070000001
10375.0,27625.0,16.412000655
10625.0,27625.0,20.659000395
10875.0,27625.0,23.622001645
11125.0,27625.0,25.707998275
11375.0,27625.0,25.939499855
11625.0,27625.0,26.302000045
11875.0,27625.0,26.22900009
12125.0,27625.0,25.35199833
12375.0,27625.0,23.72599983
12625.0,27625.0,22.493499755
12875.0,27625.0,20.95199776
13125.0,27625.0,19.586999895
13375.0,27625.0,18.27099991
13625.0,27625.0,17.0189991
13875.0,27625.0,15.431997299999999
14125.0,27625.0,14.423250199999998
14375.0,27625.0,13.883750915
14625.0,27625.0,14.298999785000003
14875.0,27625.0,15.525049205000002
15125.0,27625.0,15.776952740000002
15375.0,27625.0,15.139497760000001
15625.0,27625.0,20.12925148
15875.0,27625.0,21.59974861
16125.0,27625.0,20.724802015
16375.0,27625.0,20.91689873
16625.0,27625.0,20.74615097
16875.0,27625.0,21.834949495
17125.0,27625.0,22.907598495000002
17375.0,27625.0,24.55609989
17625.0,27625.0,26.260051725
17875.0,27625.0,28.48595047
18125.0,27625.0,31.014050005
18375.0,27625.0,33.17514992
18625.0,27625.0,34.42680183
18875.0,27625.0,35.127550005
19125.0,27625.0,36.073298215
19375.0,27625.0,35.404898525
19625.0,27625.0,34.38184816
19875.0,27625.0,43.52665043
20125.0,27625.0,97.04000092
20375.0,27625.0,94.87000275
20625.0,27625.0,100.41000368
20875.0,27625.0,102.800003075
21125.0,27625.0,99.38999939
125.0,27375.0,171.550003075
375.0,27375.0,157.41000368
625.0,27375.0,139.88999939500002
875.0,27375.0,137.050003075
1125.0,27375.0,129.300003075
1375.0,27375.0,124.98000338
1625.0,27375.0,124.16000368
1875.0,27375.0,129.699996975
2125.0,27375.0,139.800003075
2375.0,27375.0,147.770004285
2625.0,27375.0,160.11000060499998
2875.0,27375.0,157.13000489
3125.0,27375.0,145.6000061
3375.0,27375.0,120.73000338
3625.0,27375.0,110.25
3875.0,27375.0,110.38999939499999
4125.0,27375.0,106.569999695
4375.0,27375.0,100.300003075
4625.0,27375.0,92.06999969
4875.0,27375.0,89.30000305
5125.0,27375.0,88.08999634
5375.0,27375.0,88.58999634
5625.0,27375.0,87.87000275
5875.0,27375.0,89.48000336
6125.0,27375.0,87.87000275
6375.0,27375.0,89.33999634
6625.0,27375.0,86.41000366
6875.0,27375.0,84.37000275
7125.0,27375.0,83.37000275
7375.0,27375.0,83.56999969
7625.0,27375.0,83.76999664
7875.0,27375.0,84.98000336
8125.0,27375.0,-20.494998945
8375.0,27375.0,-18.131000495000002
8625.0,27375.0,-16.313999199999998
8875.0,27375.0,-13.199501054999999
9125.0,27375.0,-5.759498594999997
9375.0,27375.0,7.467998504999997
9625.0,27375.0,7.60650253
9875.0,27375.0,5.605998995
10125.0,27375.0,7.325500490000003
10375.0,27375.0,12.249500274999999
10625.0,27375.0,16.271499635
10875.0,27375.0,20.043001175
11125.0,27375.0,22.413000105
11375.0,27375.0,22.360500335
11625.0,27375.0,22.782499315
11875.0,27375.0,23.01799965
12125.0,27375.0,22.25699997
12375.0,27375.0,21.635499955
12625.0,27375.0,20.287000655
12875.0,27375.0,19.05299759
13125.0,27375.0,17.617500305
13375.0,27375.0,16.43950081
13625.0,27375.0,15.334999085
13875.0,27375.0,14.053901670000002
14125.0,27375.0,13.037849425000001
14375.0,27375.0,12.447149275000001
14625.0,27375.0,12.070400240000001
14875.0,27375.0,12.6473999
15125.0,27375.0,13.88904762
15375.0,27375.0,14.511802670000002
15625.0,27375.0,17.603002545
15875.0,27375.0,20.62080002
16125.0,27375.0,20.012598035
16375.0,27375.0,20.854351045
16625.0,27375.0,21.460847855
16875.0,27375.0,22.728300095
17125.0,27375.0,24.21675205
17375.0,27375.0,25.987098695
17625.0,27375.0,28.32079983
17875.0,27375.0,31.124199865
18125.0,27375.0,33.95204997
18375.0,27375.0,35.97089845
18625.0,27375.0,38.43754816
18875.0,27375.0,39.44609833
19125.0,27375.0,40.941950325
19375.0,27375.0,39.8749485
19625.0,27375.0,37.4594481
19875.0,27375.0,40.037798315
20125.0,27375.0,88.5
20375.0,27375.0,98.0
20625.0,27375.0,100.33999632
20875.0,27375.0,107.550003075
21125.0,27375.0,101.699996975
125.0,27125.0,159.25
375.0,27125.0,152.61999511
625.0,27125.0,147.460006705
875.0,27125.0,139.979995715
1125.0,27125.0,129.5
1375.0,27125.0,128.86999511
1625.0,27125.0,132.52999878999998
1875.0,27125.0,140.83999632
2125.0,27125.0,138.979995715
2375.0,27125.0,151.41000368
2625.0,27125.0,151.92999269
2875.0,27125.0,141.479995715
3125.0,27125.0,142.960006705
3375.0,27125.0,133.009994505
3625.0,27125.0,123.20999909
3875.0,27125.0,114.569999695
4125.0,27125.0,107.73000338
4375.0,27125.0,100.319999695
4625.0,27125.0,103.45999909
4875.0,27125.0,94.83999634
5125.0,27125.0,91.51000214
5375.0,27125.0,97.27999878
5625.0,27125.0,101.45999909
5875.0,27125.0,93.75
6125.0,27125.0,100.25
6375.0,27125.0,100.180000305
6625.0,27125.0,92.05000305
6875.0,27125.0,94.05000305
7125.0,27125.0,89.88999939
7375.0,27125.0,88.37000275
7625.0,27125.0,88.76999664
7875.0,27125.0,58.527450564999995
8125.0,27125.0,-5.663898465000003
